freq,reporter,product,product label,PRODQNT value,PRODQNT year,PRODQNT unit,EXPQNT value,EXPQNT year,EXPQNT unit,IMPQNT value,IMPQNT year,IMPQNT unit
A,EU27_2020,20143383,"Oxalic, azelaic, malonic, other, cyclanic, cylenic or cycloterpenic polycarboxylic acids, salts",: ,2019,: ,: ,2019,: ,: ,2019,: 
A,EU27_2020,20143385,Adipic acid; its salts and esters,400000000,2019,KG,8614841,2019,KG,67809488,2019,KG
A,EU27_2020,20143387,Maleic anhydride,40000000,2019,KG,2357403,2019,KG,50567038,2019,KG
A,EU27_2020,20143410,Dibutyl and dioctyl orthophthalates,150000000,2019,KG,: ,2019,KG,: ,2019,KG
A,EU27_2020,20143420,Other esters of orthophthalic acid,475430988,2019,KG,: ,2019,KG,: ,2019,KG
A,EU27_2020,20143430,Phthalic anhydride; terephthalic acid and its salts,3205054549,2019,KG,1043592979,2019,KG,786875190,2019,KG
A,EU27_2020,20143440,"Aromatic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their halogenated, sulphonated, nitrated or nitrosated derivatives (excluding esters of orthophthalic acid, phthalic anhydride, terephthalic acid and its salts)",320000000,2019,KG,239796765,2019,KG,192839291,2019,KG
A,EU27_2020,20143473,Citric acid and its salts and esters,422900973,2019,KG,69781204,2019,KG,278729397,2019,KG
A,EU27_2020,20143475,"Carboxylic acid with alcohol, phenol, aldehyde or ketone functions",414540872,2019,KG,176964057,2019,KG,165221215,2019,KG
A,EU27_2020,201434Z1,Esters of orthophthalic acid,651912003,2019,KG,223480994,2019,KG,39438123,2019,KG
A,EU27_2020,20144113,Methylamine; di- or trimethylamine and their salts,113325732,2019,KG,18891813,2019,KG,8388095,2019,KG
A,EU27_2020,20144119,Other acylic monoamines and their derivatives; salts thereof,159741746,2019,KG,51177823,2019,KG,42246780,2019,KG
A,EU27_2020,20144123,Hexamethylenediamine and its salts; ethylenediamine and its salts,589609211,2019,KG,58662623,2019,KG,99459183,2019,KG
A,EU27_2020,20144129,Other acyclic polyamines and their derivatives; salts thereof,101317296,2019,KG,55675874,2019,KG,16948054,2019,KG
