freq,product,product label,PRODQNT - EU27_2020 - 2019 - amount,PRODQNT - EU27_2020 - 2019 - unit,EXPQNT - EU27_2020 - 2019 - amount,EXPQNT - EU27_2020 - 2019 - unit,IMPQNT - EU27_2020 - 2019 - amount,IMPQNT - EU27_2020 - 2019 - unit,PRODQNT - EU27_2020 - 2022 - amount,PRODQNT - EU27_2020 - 2022 - unit,EXPQNT - EU27_2020 - 2022 - amount,EXPQNT - EU27_2020 - 2022 - unit,IMPQNT - EU27_2020 - 2022 - amount,IMPQNT - EU27_2020 - 2022 - unit,PRODQNT - FR - 2019 - amount,PRODQNT - FR - 2019 - unit,EXPQNT - FR - 2019 - amount,EXPQNT - FR - 2019 - unit,IMPQNT - FR - 2019 - amount,IMPQNT - FR - 2019 - unit,PRODQNT - FR - 2022 - amount,PRODQNT - FR - 2022 - unit,EXPQNT - FR - 2022 - amount,EXPQNT - FR - 2022 - unit,IMPQNT - FR - 2022 - amount,IMPQNT - FR - 2022 - unit
A,20146219,"Acyclic ketones; without other oxygen function (excluding acetone, butanone (methyl ethyl ketone), 4-methylpentan-2-one (methyl isobutyl ketone))",32265995,KG,7442776,KG,11857283,KG,28000000,KG,7522517,KG,13800145,KG,:,KG,1032000,KG,2705100,KG,6166150,KG,1372407,KG,2005937,KG
A,20146231,Camphor; aromatic ketones without other oxygen function; ketone-alcohols; ketone-aldehydes; ketone-phenols and ketones with other oxygen function,65005138,KG,:,KG,:,KG,60000000,KG,:,KG,:,KG,24257329,KG,:,KG,:,KG,14172725,KG,:,KG,:,KG
A,20146233,Cyclohexanone and methylcyclohexanones,77807795,KG,24022202,KG,16459580,KG,39770216,KG,5618231,KG,14384287,KG,:,KG,13400,KG,2232100,KG,:,KG,54685,KG,2094797,KG
A,20146235,Ionones and methylionones,4000000,KG,4654998,KG,1541341,KG,6111657,KG,5774181,KG,1997986,KG,0,KG,209300,KG,508500,KG,:,KG,303093,KG,557706,KG
A,20146239,"Cyclanic, cyclenic or cycloterpenic ketones without other oxygen function (excluding camphor, cyclohexanone and methylcyclohexanones, ionones and methylionones)",41680000,KG,:,KG,:,KG,20000000,KG,:,KG,:,KG,290143,KG,:,KG,:,KG,329800,KG,:,KG,:,KG
A,20146260,Quinones,2550680,KG,883195,KG,1240922,KG,7391539,KG,852870,KG,1564120,KG,:,KG,26600,KG,164800,KG,:,KG,8123,KG,90013,KG
A,20146270,Halogenated; sulphonated; nitrated or nitrosated derivatives of ketones and quinones,4136132,KG,5259780,KG,3460959,KG,4340000,KG,6247334,KG,3882294,KG,172211,KG,163200,KG,1112300,KG,:,KG,176989,KG,1041824,KG
A,201462Z0,"Aromatic ketones without other oxygen function; ketone-alcohols and ketone-aldehydes; ketone-phenols and ketones with other oxygen function; other cyclanic, cyclenic or cycloterpenic ketones without other oxygen function",100000000,KG,63502890,KG,33694804,KG,75000000,KG,51173985,KG,33478131,KG,:,KG,21462500,KG,5120800,KG,14502901,KG,15923395,KG,8461794,KG
A,20146310,"Acyclic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives",2016174630,KG,368237627,KG,332628698,KG,1800000000,KG,547060301,KG,726071613,KG,N/A,N/A,501075300,KG,282865600,KG,N/A,N/A,462310632,KG,286816531,KG
A,20146323,"Cyclanic, cyclenic or cycloterpenic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives",16000000,KG,444695,KG,496484,KG,47705006,KG,545936,KG,469635,KG,:,KG,28800,KG,162000,KG,:,KG,162764,KG,221905,KG
