Long name,Figure name,Quantity (Mt/yr),Local production share of available quantity (%),Carbon mass share,propylene - ecoinvent-3.11-cutoff,ethylene - ecoinvent-3.11-cutoff,methanol - ecoinvent-3.11-cutoff,"xylene, mixed - ecoinvent-3.11-cutoff",o-xylene - ecoinvent-3.11-cutoff,p-xylene - ecoinvent-3.11-cutoff,"toluene, liquid - ecoinvent-3.11-cutoff",benzene - ecoinvent-3.11-cutoff,"Unit GHG footprint without end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff","Unit GHG footprint of local production share (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff",propylene - ecoinvent-3.12-cutoff,ethylene - ecoinvent-3.12-cutoff,methanol - ecoinvent-3.12-cutoff,"xylene, mixed - ecoinvent-3.12-cutoff",o-xylene - ecoinvent-3.12-cutoff,p-xylene - ecoinvent-3.12-cutoff,"toluene, liquid - ecoinvent-3.12-cutoff",benzene - ecoinvent-3.12-cutoff,"Unit GHG footprint without end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff","Unit GHG footprint of local production share (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff",Unit impact of end-of-life (kg CO2/kg),"Unit GHG footprint with end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff","Total GHG footprint without end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff","Total GHG footprint with end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff","Unit GHG footprint with end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff","Total GHG footprint without end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff","Total GHG footprint with end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff","Unit GHG footprint of BTX (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff","Unit GHG footprint of BTX (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff"
"Ethylene-vinyl acetate copolymers, in primary forms",Ethylene-vinyl acetate,0.593659673,0.842233392,0.631382513,0.0,1.690666449787671,0.1138749484018097,0.0,0.0,0.0,0.0,0.0,2.835619250036055,2.319138752300471,0.0,1.7354208899937484,0.1310591337248194,0.0,0.0,0.0,0.0,0.0,2.897222110061011,2.3809520144326046,2.3134221142799936,5.149041364316048,1.6833927967289095,3.056778212603339,5.210644224341005,1.7199639304671899,3.0933493463416193,0.0,0.0
Butan-1-ol (n-butyl alcohol),n-Butanol,0.507331541,0.788439054,0.648192121,1.266791658703962,0.0,0.137365223157676,0.0,0.0,0.0,0.0,0.0,3.844128516632287,3.0308610511079834,1.3655939761416696,0.0,0.3558622646594303,0.0,0.0,0.0,0.0,0.0,4.007689262346689,3.159818730730582,2.375013492056365,6.219142008688652,1.9502476441451024,3.1551668989658492,6.382702754403054,2.033227169315499,3.2381464241362456,0.0,0.0
Hexamethylenediamine and its salts; ethylenediamine and its salts,Hexamethylenediamine,0.443739559,0.90142966,0.620189329,0.4381389622386978,0.0,0.0106527491441762,0.0,0.0,0.0,0.0,0.0,5.571048078687225,4.993056449261193,0.1347293331924853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.564966539907278,4.040003769452793,2.2724096394938806,7.843457718181106,2.4720944176044664,3.4804524689008303,6.837376179401159,2.0256562392682116,3.034014290564575,0.0,0.0
Ethyl acetate,Ethyl acetate,0.377601386,0.119173291,0.545272954,0.0,0.5465943556131254,0.3611489531563642,0.0,0.0,0.0,0.0,0.0,3.986381388426595,0.4750701892399466,0.0,0.4467178305436369,0.334776908470448,0.0,0.0,0.0,0.0,0.0,3.954084594972889,0.4712212740753213,1.9979117003235367,5.984293088750132,1.5052631373944867,2.2596773645422705,5.951996295296426,1.4930678234230115,2.2474820505707958,0.0,0.0
"Polyacetals, in primary forms",Polyoxymethylene,0.334412816,0.59226284,0.400019983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.64,2.1558367376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.64,2.1558367376,1.4656963976227626,5.105696397622763,1.2172626502400001,1.707410309970084,5.105696397622763,1.2172626502400001,1.707410309970084,0.0,0.0
"2,2-Oxydiethanol (diethylene glycol; digol)",Diethylene glycol,0.321846701,0.186424157,0.452732755,0.0,1.3623866679935863,0.1376717447028424,0.0,0.0,0.0,0.0,0.0,3.0184667058855856,0.4289002259788021,0.0,1.2139605831302398,0.0,0.0,0.0,0.0,0.0,0.0,2.8446504964868105,0.4463119733213541,1.6588390487715428,4.677305754657128,0.9714835513676131,1.5053754267047121,4.503489545258353,0.915541377792292,1.4494332531293912,0.0,0.0
Esters of methacrylic acid,Methyl methacrylate,0.321638245,0.27981747,0.599830204,0.6456541390273508,0.0,0.4514149623437355,0.0,0.0,0.0,0.0,0.5623986049119059,6.62288749073993,1.6926826345137254,0.2626270193979044,0.0,0.3535569728973983,0.0,0.0,0.0,0.0,0.5496294761990482,6.189752540089171,1.5039940334375268,2.197812625746066,8.820700116485996,2.1301739093540446,2.8370745051378514,8.387565165835237,1.990861143978573,2.6977617397623797,0.5623986049119059,0.5496294761990482
o-Xylene,o-Xylene,0.318208407,0.448046167,0.905124341,0.0,0.0,0.0,0.0,2.345892251185357,0.0,0.0,0.0,2.388075712871382,1.021185324556529,0.0,0.0,0.0,0.0,2.336440935303117,0.0,0.0,0.0,2.3786465401490444,1.0279338475038386,3.316428034557406,5.704503747428788,0.7599057683881919,1.8152210501948451,5.69507457470645,0.756905326356889,1.8122206081635421,2.345892251185357,2.336440935303117
Chloromethane (methyl chloride) and chloroethane (ethyl chloride),Chloromethane,0.300894106,0.997028503,0.237888691,0.0,0.0,0.5986010605873526,0.0,0.0,0.0,0.0,0.0,2.8318777886917186,2.8234628723382547,0.0,0.0,0.4703990150163087,0.0,0.0,0.0,0.0,0.0,2.722984997439348,2.714893655688412,0.8716379487319125,3.703515737423631,0.8520953355296516,1.1143660568690141,3.59462294617126,0.8193301364559249,1.0816008577952874,0.0,0.0
Butanal (butyraldehyde; normal isomer),Butanal,0.3,1.0,0.666259881,1.266791658703962,0.0,0.137365223157676,0.0,0.0,0.0,0.0,0.0,3.844128516632287,3.844128516632287,1.3655939761416696,0.0,0.3558622646594303,0.0,0.0,0.0,0.0,0.0,4.007689262346689,4.007689262346689,2.4412148116667223,6.285343328299009,1.1532385549896862,1.8856029984897027,6.448904074013411,1.2023067787040067,1.9346712222040232,0.0,0.0
"4,4-Isopropylidenediphenol (bisphenol A; diphenylolpropane) and its salts",Bisphenol A,0.258032226,0.775096983,0.78919357,0.6346598992744933,0.0,0.0,0.0,0.0,0.0,0.0,1.2382214411926995,3.955693448032608,2.942318093144354,0.5996370961511396,0.0,0.0,0.0,0.0,0.0,0.0,1.2234230060695188,4.012470560494862,2.984520772436692,2.891650971786696,6.847344419819304,1.020696385769469,1.7668355228346535,6.9041215322815574,1.0353467104839567,1.7814858475491409,1.2382214411926995,1.2234230060695188
Acetic anhydride,Acetic anhydride,0.215273632,0.011148602,0.470604369,0.0,0.3236240082099783,0.6979407038043185,0.0,0.0,0.0,0.0,0.0,5.174229860614852,0.0576854293725104,0.0,0.2054993495929204,0.6386668986566801,0.0,0.0,0.0,0.0,0.0,5.144422246818696,0.0573531161497274,1.7243216780718509,6.898551538686703,1.113875254897413,1.485076245272275,6.868743924890547,1.107458461614261,1.4786594519891232,0.0,0.0
Toluene diisocyanate (TDI),Toluene diisocyanate,0.242141968,0.886320477,0.620687873,0.0,0.0,0.0,0.0,0.0,0.0,0.9202584393613648,0.0,5.795653697314272,4.980719046579562,0.0,0.0,0.0,0.0,0.0,0.0,0.9141660574315764,0.0,5.80094731985242,4.98770194682881,2.274236333598951,8.069890030913223,1.4033709921141542,1.9540590536289089,8.07518365345137,1.4046528002933905,1.955340861808145,0.9202584393613648,0.9141660574315764
