Member,HS_Code,Label_EN,Explanatory_EN
http://data.europa.eu/xsp/cn2024/030229000080,0302.29,0302 29 -- Other,"Fresh or chilled flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Catharidae"" (excl. halibut ""Reinhardtius hippoglossoides, Hippoglossus hippoglossus and Hippoglossus stenolepis"", plaice ""Pleuronectes platessa"", sole ""Solea spp."" and turbot ""Psetta maxima"")"
http://data.europa.eu/xsp/cn2024/030231000080,0302.31,0302 31 -- Albacore or longfinned tuna (Thunnus alalunga),"Fresh or chilled albacore or longfinned tunas ""Thunnus alalunga"""
http://data.europa.eu/xsp/cn2024/030232000080,0302.32,0302 32 -- Yellowfin tuna (Thunnus albacares),"Fresh or chilled yellowfin tunas ""Thunnus albacares"""
http://data.europa.eu/xsp/cn2024/030233000080,0302.33,0302 33 -- Skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis),Fresh or chilled skipjack or stripe-bellied bonito
http://data.europa.eu/xsp/cn2024/030234000080,0302.34,0302 34 -- Bigeye tuna (Thunnus obesus),"Fresh or chilled bigeye tunas ""Thunnus obesus"""
http://data.europa.eu/xsp/cn2024/030235000080,0302.35,"0302 35 -- Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)","Fresh or chilled Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)"
http://data.europa.eu/xsp/cn2024/030236000080,0302.36,0302 36 -- Southern bluefin tuna (Thunnus maccoyii),"Fresh or chilled Southern bluefin tunas ""Thunnus maccoyii"""
http://data.europa.eu/xsp/cn2024/030239000080,0302.39,0302 39 -- Other,"Fresh or chilled tunas of the genus ""Thunnus"" (excl. Thunnus alalunga, Thunnus albacares, Thunnus obesus, Thunnus thynnus, Thunnus orientalis and Thunnus maccoyii)"
http://data.europa.eu/xsp/cn2024/030241000080,0302.41,"0302 41 00 -- Herrings (Clupea harengus, Clupea pallasii)","Fresh or chilled herring ""Clupea harengus, clupea pallasii"""
http://data.europa.eu/xsp/cn2024/030242000080,0302.42,0302 42 00 -- Anchovies (Engraulis spp.),"Fresh or chilled anchovies ""Engraulis spp."""
